date,paire,action,prix,raison,donnees
25/09 07:39,SOLUSD,HOLD,116.62,"position gardée : stop 114.91, objectif 120.73, latent -0.33 USD",{}
25/09 07:39,XBTUSD,SKIP,84192.7,"tendance trop faible ou baissière (EMA20 84273.08, EMA50 84457.10); EMA20 qui s'essouffle (-25.39 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 84273.08195467618, ""ema_slow"": 84457.10176369277, ""rsi"": 47.74001168453383, ""atr"": 492.36155645678326}"
25/09 07:39,ETHUSD,SKIP,2679.59,"tendance trop faible ou baissière (EMA20 2680.90, EMA50 2688.51); EMA20 qui s'essouffle (-1.02 sur 3 bougies); prix sous l'EMA rapide; RSI 49 dans la zone 45-70","{""ema_fast"": 2680.895947576374, ""ema_slow"": 2688.5062684614654, ""rsi"": 48.646680606782425, ""atr"": 19.39907465605251}"
25/09 07:39,-,EQUITY,49.76840345446903,capital simulé 49.77 USD dont 24.90 USD de cash,{}
25/09 08:42,SOLUSD,HOLD,116.22,"position gardée : stop 114.91, objectif 120.73, latent -0.42 USD",{}
25/09 08:42,XBTUSD,SKIP,84177.3,"tendance trop faible ou baissière (EMA20 84263.96, EMA50 84446.13); EMA20 qui s'essouffle (-24.99 sur 3 bougies); prix sous l'EMA rapide; RSI 47 dans la zone 45-70","{""ema_fast"": 84263.95986375464, ""ema_slow"": 84446.1291455087, ""rsi"": 47.46772303059998, ""atr"": 474.4643024241561}"
25/09 08:42,ETHUSD,SKIP,2679.53,"tendance trop faible ou baissière (EMA20 2680.77, EMA50 2688.15); EMA20 qui s'essouffle (-0.58 sur 3 bougies); prix sous l'EMA rapide; RSI 49 dans la zone 45-70","{""ema_fast"": 2680.765857331005, ""ema_slow"": 2688.1542579335623, ""rsi"": 48.616469383226146, ""atr"": 18.68342646633445}"
25/09 08:42,-,EQUITY,49.68310623802427,capital simulé 49.68 USD dont 24.90 USD de cash,{}
25/09 08:48,SOLUSD,HOLD,116.14,"position gardée : stop 114.91, objectif 120.73, latent -0.43 USD",{}
25/09 08:48,XBTUSD,SKIP,84177.3,"tendance trop faible ou baissière (EMA20 84263.96, EMA50 84446.13); EMA20 qui s'essouffle (-24.99 sur 3 bougies); prix sous l'EMA rapide; RSI 47 dans la zone 45-70","{""ema_fast"": 84263.95986375464, ""ema_slow"": 84446.1291455087, ""rsi"": 47.46772303059998, ""atr"": 474.4643024241561}"
